Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
SE;MG;PARA DE MINAS;AUTO POSTO ALMEIDA LTDA; 19.657.402/0001-91;AVENIDA PRESIDENTE VARGAS;892;;SAO FRANCISCO;35661-000;GASOLINA ADITIVADA;01/01/2026;6,37;;R$ / litro;RAIZEN
SE;MG;PARA DE MINAS;AUTO POSTO ALMEIDA LTDA; 19.657.402/0001-91;AVENIDA PRESIDENTE VARGAS;892;;SAO FRANCISCO;35661-000;ETANOL;01/01/2026;4,49;;R$ / litro;RAIZEN
SE;MG;PARA DE MINAS;COMÉRCIO RODRIGUES E FARIA LTDA; 86.539.590/0001-40;RUA PEQUI;700; ;SANTOS DUMONT;35660-308;GASOLINA;01/01/2026;6,19;;R$ / litro;VIBRA
SE;MG;PARA DE MINAS;COMÉRCIO RODRIGUES E FARIA LTDA; 86.539.590/0001-40;RUA PEQUI;700; ;SANTOS DUMONT;35660-308;GASOLINA ADITIVADA;01/01/2026;6,19;;R$ / litro;VIBRA
N;PA;CONCEICAO DO ARAGUAIA;BRITO & BARRA LTDA; 04.376.513/0001-52;RUA COUTO MAGALHAES;32;;CENTRO;68540-000;GASOLINA;01/01/2026;6,45;;R$ / litro;BRANCA
N;PA;CONCEICAO DO ARAGUAIA;BRITO & BARRA LTDA; 04.376.513/0001-52;RUA COUTO MAGALHAES;32;;CENTRO;68540-000;ETANOL;01/01/2026;5,15;;R$ / litro;BRANCA
NE;PI;PICOS;REDE BOM & BARATO LTDA.; 08.837.631/0001-71;AVENIDA SEVERO EULALIO;1236;;CANTO DA VARZEA;64600-000;GASOLINA;01/01/2026;5,75;;R$ / litro;BRANCA
NE;PI;PICOS;POSTO FACILITE LTDA; 04.540.173/0001-53;RUA SAO SEBASTIAO;889;;CANTO DA VARZEA;64600-002;GASOLINA;01/01/2026;5,89;;R$ / litro;BRANCA
NE;PI;PICOS;POSTO FACILITE LTDA; 04.540.173/0001-53;RUA SAO SEBASTIAO;889;;CANTO DA VARZEA;64600-002;ETANOL;01/01/2026;4,87;;R$ / litro;BRANCA
NE;PI;PICOS;PIPEL-PICOS PETROLEO LTDA; 07.483.266/0003-43;AVENIDA CAPITAO FELIPE DE ARAUJO ROCHA;1530;;IPUEIRAS;64600-002;GASOLINA;01/01/2026;5,78;;R$ / litro;VIBRA
NE;PI;PICOS;TOTAL DERIVADOS DE PETROLEO E SERVICOS LTDA; 03.065.371/0001-40;AVENIDA N. SENHORA DE FATIMA;453;;CENTRO;64600-002;GASOLINA;01/01/2026;5,85;;R$ / litro;VIBRA
S;PR;ARAPONGAS;AUTO POSTO CATUAI LTDA; 07.900.742/0004-65;RUA GATURAMO;475;;JARDIM PRIMAVERA;86702-000;GASOLINA;01/01/2026;6,28;;R$ / litro;BRANCA
S;PR;ARAPONGAS;AUTO POSTO CATUAI LTDA; 07.900.742/0004-65;RUA GATURAMO;475;;JARDIM PRIMAVERA;86702-000;GASOLINA ADITIVADA;01/01/2026;6,31;;R$ / litro;BRANCA
S;PR;ARAPONGAS;AUTO POSTO CATUAI LTDA; 07.900.742/0004-65;RUA GATURAMO;475;;JARDIM PRIMAVERA;86702-000;ETANOL;01/01/2026;4,38;;R$ / litro;BRANCA
S;PR;ARAPONGAS;AUTO POSTO PARADA AZUL LTDA; 08.002.928/0001-17;RODOVIA BR 369;S/N;KM. 181;BAIRRO GRANDE PARADA;86706-430;GASOLINA ADITIVADA;01/01/2026;6,29;;R$ / litro;RAIZEN
S;PR;ARAPONGAS;AUTO POSTO PARADA AZUL LTDA; 08.002.928/0001-17;RODOVIA BR 369;S/N;KM. 181;BAIRRO GRANDE PARADA;86706-430;ETANOL;01/01/2026;4,29;;R$ / litro;RAIZEN
S;PR;ARAPONGAS;AUTO POSTO PARADA AZUL LTDA; 08.002.928/0001-17;RODOVIA BR 369;S/N;KM. 181;BAIRRO GRANDE PARADA;86706-430;GASOLINA;01/01/2026;6,19;;R$ / litro;RAIZEN
S;PR;ARAPONGAS;L&J COMÉRCIO DE COMBUSTÍVEIS LTDA.; 06.050.174/0001-45;RUA CONDOR;863;;CENTRO;86701-210;GASOLINA;01/01/2026;6,19;;R$ / litro;VIBRA
S;PR;ARAPONGAS;L&J COMÉRCIO DE COMBUSTÍVEIS LTDA.; 06.050.174/0001-45;RUA CONDOR;863;;CENTRO;86701-210;GASOLINA ADITIVADA;01/01/2026;6,29;;R$ / litro;VIBRA
S;PR;ARAPONGAS;L&J COMÉRCIO DE COMBUSTÍVEIS LTDA.; 06.050.174/0001-45;RUA CONDOR;863;;CENTRO;86701-210;ETANOL;01/01/2026;4,29;;R$ / litro;VIBRA
S;PR;ARAPONGAS;AUTO POSTO PRA FRENTE BRASIL LTDA; 04.868.412/0002-80;RODOVIA BR 369;S/N;KM 181 + 200 MTS;SEDE;86700-000;GASOLINA;01/01/2026;6,19;;R$ / litro;IPIRANGA
S;PR;ARAPONGAS;AUTO POSTO PRA FRENTE BRASIL LTDA; 04.868.412/0002-80;RODOVIA BR 369;S/N;KM 181 + 200 MTS;SEDE;86700-000;GASOLINA ADITIVADA;01/01/2026;6,49;;R$ / litro;IPIRANGA
S;PR;ARAPONGAS;AUTO POSTO PRA FRENTE BRASIL LTDA; 04.868.412/0002-80;RODOVIA BR 369;S/N;KM 181 + 200 MTS;SEDE;86700-000;ETANOL;01/01/2026;4,29;;R$ / litro;IPIRANGA
SE;SP;POA;PORTAL DE POA AUTO POSTO LTDA; 04.576.763/0001-36;RODOVIA JOAO AFONSO DE SOUZA CASTELLANO;1890;;VILA JAU;08559-000;GASOLINA;01/01/2026;5,99;;R$ / litro;BRANCA
SE;SP;POA;PORTAL DE POA AUTO POSTO LTDA; 04.576.763/0001-36;RODOVIA JOAO AFONSO DE SOUZA CASTELLANO;1890;;VILA JAU;08559-000;GASOLINA ADITIVADA;01/01/2026;6,04;;R$ / litro;BRANCA
SE;SP;POA;PORTAL DE POA AUTO POSTO LTDA; 04.576.763/0001-36;RODOVIA JOAO AFONSO DE SOUZA CASTELLANO;1890;;VILA JAU;08559-000;ETANOL;01/01/2026;4,17;;R$ / litro;BRANCA
SE;SP;POA;AUTO POSTO PEKNY LTDA; 03.136.505/0001-76;RUA JOAO PECKNY;1498;;JARDIM EMILIA;08550-000;GASOLINA;01/01/2026;6,59;;R$ / litro;VIBRA
SE;SP;POA;AUTO POSTO PEKNY LTDA; 03.136.505/0001-76;RUA JOAO PECKNY;1498;;JARDIM EMILIA;08550-000;GASOLINA ADITIVADA;01/01/2026;6,79;;R$ / litro;VIBRA
SE;SP;POA;AUTO POSTO PEKNY LTDA; 03.136.505/0001-76;RUA JOAO PECKNY;1498;;JARDIM EMILIA;08550-000;ETANOL;01/01/2026;4,79;;R$ / litro;VIBRA
SE;SP;POA;AUTO POSTO ESTÂNCIA HIDROMINERAL DE POÁ LTDA.; 03.017.060/0001-05;AVENIDA PREFEITO FRANCISCO RODRIGUES FILHO;300;;CENTRO;08561-200;GASOLINA;01/01/2026;5,79;;R$ / litro;BRANCA
SE;SP;POA;AUTO POSTO ESTÂNCIA HIDROMINERAL DE POÁ LTDA.; 03.017.060/0001-05;AVENIDA PREFEITO FRANCISCO RODRIGUES FILHO;300;;CENTRO;08561-200;ETANOL;01/01/2026;4,19;;R$ / litro;BRANCA
SE;SP;POA;CENTRO AUTOMOTIVO REAL LESTE LTDA; 01.456.575/0001-86;AVENIDA LUCAS NOGUEIRA GARCEZ;677;;V STA MARIA;08563-100;GASOLINA;01/01/2026;6,39;;R$ / litro;IPIRANGA
SE;SP;POA;CENTRO AUTOMOTIVO REAL LESTE LTDA; 01.456.575/0001-86;AVENIDA LUCAS NOGUEIRA GARCEZ;677;;V STA MARIA;08563-100;GASOLINA ADITIVADA;01/01/2026;6,69;;R$ / litro;IPIRANGA
SE;SP;POA;CENTRO AUTOMOTIVO REAL LESTE LTDA; 01.456.575/0001-86;AVENIDA LUCAS NOGUEIRA GARCEZ;677;;V STA MARIA;08563-100;ETANOL;01/01/2026;4,39;;R$ / litro;IPIRANGA
SE;SP;POA;CENTRO AUTOMOTIVO CONCORDIA LTDA; 03.136.299/0001-02;AVENIDA   VITAL BRASIL;672;;VILA ACOREANA;08557-000;GASOLINA;01/01/2026;5,59;;R$ / litro;BRANCA
SE;SP;POA;CENTRO AUTOMOTIVO CONCORDIA LTDA; 03.136.299/0001-02;AVENIDA   VITAL BRASIL;672;;VILA ACOREANA;08557-000;ETANOL;01/01/2026;3,99;;R$ / litro;BRANCA
SE;SP;SUZANO;AUTO POSTO DONA BENTA LTDA; 07.575.173/0001-87;AVENIDA FRANCISCO MARENGO;2455;;JARDIM DONA BENTA;08694-520;GASOLINA;01/01/2026;5,67;;R$ / litro;BRANCA
SE;SP;SUZANO;AUTO POSTO DONA BENTA LTDA; 07.575.173/0001-87;AVENIDA FRANCISCO MARENGO;2455;;JARDIM DONA BENTA;08694-520;ETANOL;01/01/2026;4,08;;R$ / litro;BRANCA
SE;SP;SUZANO;AUTO POSTO SUZAN PETRO LTDA; 04.409.786/0001-56;AVENIDA VEREADOR JOAO BAPTISTA FITTIPALD;300;;VILA MALUF;08674-210;GASOLINA;01/01/2026;5,67;;R$ / litro;BRANCA
SE;SP;SUZANO;AUTO POSTO SUZAN PETRO LTDA; 04.409.786/0001-56;AVENIDA VEREADOR JOAO BAPTISTA FITTIPALD;300;;VILA MALUF;08674-210;GASOLINA ADITIVADA;01/01/2026;5,87;;R$ / litro;BRANCA
SE;SP;SUZANO;AUTO POSTO SUZAN PETRO LTDA; 04.409.786/0001-56;AVENIDA VEREADOR JOAO BAPTISTA FITTIPALD;300;;VILA MALUF;08674-210;ETANOL;01/01/2026;4,08;;R$ / litro;BRANCA
SE;SP;SUZANO;VIEGAS AUTO POSTO LTDA; 01.458.172/0001-76;AVENIDA MAJOR PINHEIRO FROES;1215;;VILA MARIA DE MAGGI;08680-000;GASOLINA;01/01/2026;5,69;;R$ / litro;BRANCA
SE;SP;SUZANO;VIEGAS AUTO POSTO LTDA; 01.458.172/0001-76;AVENIDA MAJOR PINHEIRO FROES;1215;;VILA MARIA DE MAGGI;08680-000;GASOLINA ADITIVADA;01/01/2026;5,89;;R$ / litro;BRANCA
SE;SP;SUZANO;VIEGAS AUTO POSTO LTDA; 01.458.172/0001-76;AVENIDA MAJOR PINHEIRO FROES;1215;;VILA MARIA DE MAGGI;08680-000;ETANOL;01/01/2026;4,09;;R$ / litro;BRANCA
SE;SP;SUZANO;AUTO POSTO SANTO ANGELO II LTDA; 55.658.181/0001-30;AVENIDA FRANCISCO MARENGO;900;;JD REVISTA;08694-000;GASOLINA;01/01/2026;5,79;;R$ / litro;BRANCA
SE;SP;SUZANO;AUTO POSTO SANTO ANGELO II LTDA; 55.658.181/0001-30;AVENIDA FRANCISCO MARENGO;900;;JD REVISTA;08694-000;GASOLINA ADITIVADA;01/01/2026;5,89;;R$ / litro;BRANCA
SE;SP;SUZANO;AUTO POSTO SANTO ANGELO II LTDA; 55.658.181/0001-30;AVENIDA FRANCISCO MARENGO;900;;JD REVISTA;08694-000;ETANOL;01/01/2026;4,09;;R$ / litro;BRANCA
SE;SP;SUZANO;POSTO QUALITY CASABLANCA LTDA; 04.583.463/0001-84;AVENIDA ARMANDO SALES DE OLIVEIRA;2185;;PARQUE SANTA ROSA;08673-000;GASOLINA;01/01/2026;6,19;;R$ / litro;VIBRA
SE;SP;SUZANO;POSTO QUALITY CASABLANCA LTDA; 04.583.463/0001-84;AVENIDA ARMANDO SALES DE OLIVEIRA;2185;;PARQUE SANTA ROSA;08673-000;GASOLINA ADITIVADA;01/01/2026;6,39;;R$ / litro;VIBRA
SE;SP;SUZANO;POSTO QUALITY CASABLANCA LTDA; 04.583.463/0001-84;AVENIDA ARMANDO SALES DE OLIVEIRA;2185;;PARQUE SANTA ROSA;08673-000;ETANOL;01/01/2026;4,49;;R$ / litro;VIBRA
SE;SP;SUZANO;MARLUCE E NETO AUTO POSTO LTDA; 03.131.007/0001-30;ESTRADA PREJU;140;;MIGUEL BADRA;08690-050;GASOLINA;01/01/2026;5,99;;R$ / litro;BRANCA
SE;SP;SUZANO;MARLUCE E NETO AUTO POSTO LTDA; 03.131.007/0001-30;ESTRADA PREJU;140;;MIGUEL BADRA;08690-050;GASOLINA ADITIVADA;01/01/2026;5,99;;R$ / litro;BRANCA
SE;SP;SUZANO;MARLUCE E NETO AUTO POSTO LTDA; 03.131.007/0001-30;ESTRADA PREJU;140;;MIGUEL BADRA;08690-050;ETANOL;01/01/2026;4,29;;R$ / litro;BRANCA
NE;BA;FEIRA DE SANTANA;MAXDIESEL DERIVADOS DE PETROLEO LTDA; 08.997.756/0001-69;PRACA DA REPUBLICA;S/N;;CENTRO;44001-784;GASOLINA;01/01/2026;6,13;;R$ / litro;BRANCA
NE;BA;FEIRA DE SANTANA;MAXDIESEL DERIVADOS DE PETROLEO LTDA; 08.997.756/0001-69;PRACA DA REPUBLICA;S/N;;CENTRO;44001-784;GASOLINA ADITIVADA;01/01/2026;6,13;;R$ / litro;BRANCA
NE;BA;FEIRA DE SANTANA;MAXDIESEL DERIVADOS DE PETROLEO LTDA; 08.997.756/0001-69;PRACA DA REPUBLICA;S/N;;CENTRO;44001-784;ETANOL;01/01/2026;4,63;;R$ / litro;BRANCA
NE;BA;FEIRA DE SANTANA;COMERCIAL DE COMBUSTIVEIS MARTINS LTDA; 16.496.705/0007-77;AVENIDA PRESIDENTE DUTRA;1199;;CAPUCHINHOS;44088-455;GASOLINA;01/01/2026;6,19;;R$ / litro;VIBRA
NE;BA;FEIRA DE SANTANA;COMERCIAL DE COMBUSTIVEIS MARTINS LTDA; 16.496.705/0007-77;AVENIDA PRESIDENTE DUTRA;1199;;CAPUCHINHOS;44088-455;GASOLINA ADITIVADA;01/01/2026;6,29;;R$ / litro;VIBRA
NE;BA;FEIRA DE SANTANA;COMERCIAL DE COMBUSTIVEIS MARTINS LTDA; 16.496.705/0007-77;AVENIDA PRESIDENTE DUTRA;1199;;CAPUCHINHOS;44088-455;ETANOL;01/01/2026;4,69;;R$ / litro;VIBRA
NE;BA;FEIRA DE SANTANA;POSTO KALILANDIA LTDA; 15.151.046/0010-70;AVENIDA GOVERNADOR JOAO DURVAL CARNEIRO;2830;;CASEB;44052-004;GASOLINA;01/01/2026;6,19;;R$ / litro;RAIZEN
NE;BA;FEIRA DE SANTANA;POSTO KALILANDIA LTDA; 15.151.046/0010-70;AVENIDA GOVERNADOR JOAO DURVAL CARNEIRO;2830;;CASEB;44052-004;GASOLINA ADITIVADA;01/01/2026;6,39;;R$ / litro;RAIZEN
NE;BA;FEIRA DE SANTANA;POSTO KALILANDIA LTDA; 15.151.046/0010-70;AVENIDA GOVERNADOR JOAO DURVAL CARNEIRO;2830;;CASEB;44052-004;ETANOL;01/01/2026;4,69;;R$ / litro;RAIZEN
NE;BA;FEIRA DE SANTANA;POSTO KALILANDIA LTDA; 15.151.046/0005-02;AVENIDA PRESIDENTE DUTRA;1320;;PONTO CENTRAL;44075-516;GASOLINA;01/01/2026;6,19;;R$ / litro;RAIZEN
NE;BA;FEIRA DE SANTANA;POSTO KALILANDIA LTDA; 15.151.046/0005-02;AVENIDA PRESIDENTE DUTRA;1320;;PONTO CENTRAL;44075-516;GASOLINA ADITIVADA;01/01/2026;6,39;;R$ / litro;RAIZEN
NE;BA;FEIRA DE SANTANA;POSTO KALILANDIA LTDA; 15.151.046/0005-02;AVENIDA PRESIDENTE DUTRA;1320;;PONTO CENTRAL;44075-516;ETANOL;01/01/2026;4,69;;R$ / litro;RAIZEN
NE;BA;FEIRA DE SANTANA;POSTO DE LUBRIFICANTES PIRAI LTDA; 14.072.664/0001-70;RUA DOUTOR ANTONIO BORJA;145;;CENTRO;44001-688;GASOLINA;01/01/2026;6,13;;R$ / litro;ALE
NE;BA;VALENCA;ORGANIZACAO GUAIBIM LTDA; 01.878.111/0001-68;AVENIDA ANTONIO C MAGALHAES;500;CASA;SAO FELIX;45400-000;DIESEL;01/01/2026;5,99;;R$ / litro;RAIZEN
N;TO;PARAISO DO TOCANTINS;MEDEIROS COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA; 03.775.225/0001-08;AVENIDA TRANSBRASILIANA;961;CX. POSTAL 23;CENTRO;77600-000;DIESEL;01/01/2026;5,99;;R$ / litro;BRANCA
N;TO;PARAISO DO TOCANTINS;MEDEIROS COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA; 03.775.225/0001-08;AVENIDA TRANSBRASILIANA;961;CX. POSTAL 23;CENTRO;77600-000;DIESEL S10;01/01/2026;5,99;;R$ / litro;BRANCA
N;TO;PARAISO DO TOCANTINS;LOPES & MARINHO LTDA; 01.066.091/0001-20;AVENIDA CASTELO BRANCO;1111;QUADRA21                  LOTE  7A                  LOTE  8                   LOTE  9                   LOTE  10;CENTRO;77600-000;DIESEL;01/01/2026;5,89;;R$ / litro;VIBRA
N;TO;PARAISO DO TOCANTINS;LOPES & MARINHO LTDA; 01.066.091/0001-20;AVENIDA CASTELO BRANCO;1111;QUADRA21                  LOTE  7A                  LOTE  8                   LOTE  9                   LOTE  10;CENTRO;77600-000;DIESEL S10;01/01/2026;5,89;;R$ / litro;VIBRA
SE;MG;GUAXUPE;SAO PAULO MINAS COMERCIO DERIVADOS DE PETROLEO LTDA.; 05.282.048/0002-34;AVENIDA FELIPE ELIAS ZEITUNE;130;;CENTRO;37800-000;DIESEL;01/01/2026;5,89;;R$ / litro;BRANCA
SE;MG;GUAXUPE;SAO PAULO MINAS COMERCIO DERIVADOS DE PETROLEO LTDA.; 05.282.048/0002-34;AVENIDA FELIPE ELIAS ZEITUNE;130;;CENTRO;37800-000;DIESEL S10;01/01/2026;5,99;;R$ / litro;BRANCA
SE;MG;PARA DE MINAS;AUTO POSTO IRMAOS MELGACO LTDA; 08.538.103/0001-11;AVENIDA PRESIDENTE VARGAS;500;;DONA TUNICA;35661-000;DIESEL;01/01/2026;5,75;;R$ / litro;VIBRA
SE;MG;PARA DE MINAS;AUTO POSTO IRMAOS MELGACO LTDA; 08.538.103/0001-11;AVENIDA PRESIDENTE VARGAS;500;;DONA TUNICA;35661-000;DIESEL S10;01/01/2026;5,85;;R$ / litro;VIBRA
SE;MG;PARA DE MINAS;AUTO POSTO MR LTDA; 05.835.706/0001-97;AVENIDA PROFESSOR MELLO CANCADO;521;;SAO JOSE;35660-573;DIESEL;01/01/2026;6,14;;R$ / litro;IPIRANGA
SE;MG;PARA DE MINAS;AUTO POSTO MR LTDA; 05.835.706/0001-97;AVENIDA PROFESSOR MELLO CANCADO;521;;SAO JOSE;35660-573;DIESEL S10;01/01/2026;6,24;;R$ / litro;IPIRANGA
SE;MG;PARA DE MINAS;POSTO J H S LTDA; 04.510.593/0001-97;RUA JOAO DO NETO;220;POSTO;CENTRO;35660-043;DIESEL S10;01/01/2026;5,99;;R$ / litro;ALE
SE;MG;PARA DE MINAS;POSTO MINAS GERAIS PARA DE MINAS LTDA; 01.569.818/0001-92;AVENIDA OVIDIO DE ABREU;16;;VILA LARA;35660-970;DIESEL;01/01/2026;5,75;;R$ / litro;BRANCA
SE;MG;PARA DE MINAS;POSTO MINAS GERAIS PARA DE MINAS LTDA; 01.569.818/0001-92;AVENIDA OVIDIO DE ABREU;16;;VILA LARA;35660-970;DIESEL S10;01/01/2026;5,85;;R$ / litro;BRANCA
SE;MG;PARA DE MINAS;AUTO POSTO ALMEIDA LTDA; 19.657.402/0001-91;AVENIDA PRESIDENTE VARGAS;892;;SAO FRANCISCO;35661-000;DIESEL;01/01/2026;5,95;;R$ / litro;RAIZEN
SE;MG;PARA DE MINAS;AUTO POSTO ALMEIDA LTDA; 19.657.402/0001-91;AVENIDA PRESIDENTE VARGAS;892;;SAO FRANCISCO;35661-000;DIESEL S10;01/01/2026;6,05;;R$ / litro;RAIZEN
SE;MG;PARA DE MINAS;COMÉRCIO RODRIGUES E FARIA LTDA; 86.539.590/0001-40;RUA PEQUI;700; ;SANTOS DUMONT;35660-308;DIESEL;01/01/2026;5,94;;R$ / litro;VIBRA
N;PA;CONCEICAO DO ARAGUAIA;BRITO & BARRA LTDA; 04.376.513/0001-52;RUA COUTO MAGALHAES;32;;CENTRO;68540-000;DIESEL S10;01/01/2026;6,39;;R$ / litro;BRANCA
NE;PI;PICOS;REDE BOM & BARATO LTDA.; 08.837.631/0001-71;AVENIDA SEVERO EULALIO;1236;;CANTO DA VARZEA;64600-000;DIESEL S10;01/01/2026;5,89;;R$ / litro;BRANCA
NE;PI;PICOS;PIPEL-PICOS PETROLEO LTDA; 07.483.266/0003-43;AVENIDA CAPITAO FELIPE DE ARAUJO ROCHA;1530;;IPUEIRAS;64600-002;DIESEL S10;01/01/2026;5,93;;R$ / litro;VIBRA
NE;PI;PICOS;TOTAL DERIVADOS DE PETROLEO E SERVICOS LTDA; 03.065.371/0001-40;AVENIDA N. SENHORA DE FATIMA;453;;CENTRO;64600-002;DIESEL S10;01/01/2026;6,05;;R$ / litro;VIBRA
S;PR;ARAPONGAS;AUTO POSTO CATUAI LTDA; 07.900.742/0004-65;RUA GATURAMO;475;;JARDIM PRIMAVERA;86702-000;DIESEL;01/01/2026;5,75;;R$ / litro;BRANCA
